"name";"wall";"user";"system";"read";"write";"bitrate";"avg_memory";"max_memory"
"H.264 C, mp4, rgb24";"60.738";"14.144";"3.08";"55945.0";"19330407.0";"2568610.6";"92.6109";"96.4062"
"H.264 C, mp4, yuv420p";"60.6957";"14.018";"3.068";"55945.0";"19338250.0";"2570151.4";"72.8469";"87.8516"
"H.264 L, mp4, rgb24";"60.772";"11.21";"3.326";"55945.0";"152172922.6";"20281453.6";"86.5906";"89.9258"
"H.264 L, mp4, yuv420p";"60.7534";"14.728";"3.104";"55945.0";"76095307.4";"10137780.6";"78.8117";"85.8008"
"H.265 C, mp4, yuv420p";"61.557";"29.372";"1.214";"55945.0";"3690603.2";"488563.4";"216.8477";"268.6289"
"H.265 L, mp4, yuv420p";"61.5154";"26.488";"2.202";"55945.0";"29515625.2";"3929179.0";"243.0953";"261.5234"
"ProRes C, mov, yuv422p10le";"60.7161";"27.992";"2.572";"55945.0";"97631084.0";"13010025.0";"45.7844";"51.5391"
"Raw L, nut, bgr0";"60.7098";"3.114";"9.566";"55945.0";"7299165159.6";"974296438.4";"45.1938";"48.8281"
"VC2 C, nut, yuv420p";"60.8101";"27.2";"2.824";"55945.0";"299950506.4";"40032160.6";"53.4664";"57.9258"
"VP9 C, webm, yuv420p";"62.1115";"22.098";"2.922";"55945.0";"16807544.4";"2233021.6";"305.3273";"306.3555"
"VP9 L, webm, yuv420p";"63.3307";"27.624";"2.724";"55945.0";"65746727.4";"8766376.2";"288.2617";"320.6172"
